Unnamed: 0,Name,POS,Age,HT,WT,College,Salary,TeamURL,Team,Division,Conference
,Zach Collins12,F,27,"6' 9""",250 lbs,Gonzaga,"$18,080,496",https://www.espn.com/nba/team/roster/_/name/chi/chicago-bulls,chicago-bulls,Central,Eastern
,Ayo Dosunmu11,G,25,"6' 4""",200 lbs,Illinois,"$7,518,519",https://www.espn.com/nba/team/roster/_/name/chi/chicago-bulls,chicago-bulls,Central,Eastern
,Noa Essengue24,F,18,"6' 8""",200 lbs,--,"$5,429,520",https://www.espn.com/nba/team/roster/_/name/chi/chicago-bulls,chicago-bulls,Central,Eastern
,Trentyn Flowers9,F,20,"6' 9""",185 lbs,--,--,https://www.espn.com/nba/team/roster/_/name/chi/chicago-bulls,chicago-bulls,Central,Eastern
,Josh Giddey3,G,23,"6' 7""",216 lbs,--,"$25,000,000",https://www.espn.com/nba/team/roster/_/name/chi/chicago-bulls,chicago-bulls,Central,Eastern
,Kevin Huerter13,G,27,"6' 6""",198 lbs,Maryland,"$17,991,071",https://www.espn.com/nba/team/roster/_/name/chi/chicago-bulls,chicago-bulls,Central,Eastern
,Tre Jones30,G,25,"6' 1""",185 lbs,Duke,"$8,000,000",https://www.espn.com/nba/team/roster/_/name/chi/chicago-bulls,chicago-bulls,Central,Eastern
,Emanuel Miller2,F,25,"6' 5""",215 lbs,TCU,--,https://www.espn.com/nba/team/roster/_/name/chi/chicago-bulls,chicago-bulls,Central,Eastern
,Isaac Okoro35,F,24,"6' 4""",225 lbs,Auburn,"$11,000,000",https://www.espn.com/nba/team/roster/_/name/chi/chicago-bulls,chicago-bulls,Central,Eastern
,Lachlan Olbrich47,C,21,"6' 8""",236 lbs,UC Riverside,--,https://www.espn.com/nba/team/roster/_/name/chi/chicago-bulls,chicago-bulls,Central,Eastern
,Julian Phillips15,F,21,"6' 6""",198 lbs,Tennessee,"$2,221,677",https://www.espn.com/nba/team/roster/_/name/chi/chicago-bulls,chicago-bulls,Central,Eastern
,Jalen Smith25,F,25,"6' 8""",215 lbs,Maryland,"$9,000,000",https://www.espn.com/nba/team/roster/_/name/chi/chicago-bulls,chicago-bulls,Central,Eastern
,Dalen Terry7,F,23,"6' 6""",195 lbs,Arizona,"$5,399,118",https://www.espn.com/nba/team/roster/_/name/chi/chicago-bulls,chicago-bulls,Central,Eastern
,Nikola Vucevic9,C,35,"6' 9""",260 lbs,USC,"$21,481,481",https://www.espn.com/nba/team/roster/_/name/chi/chicago-bulls,chicago-bulls,Central,Eastern
,Coby White0,G,25,"6' 4""",195 lbs,North Carolina,"$12,888,889",https://www.espn.com/nba/team/roster/_/name/chi/chicago-bulls,chicago-bulls,Central,Eastern
,Patrick Williams44,F,24,"6' 6""",215 lbs,Florida State,"$18,000,000",https://www.espn.com/nba/team/roster/_/name/chi/chicago-bulls,chicago-bulls,Central,Eastern
,Jarrett Allen31,C,27,"6' 9""",243 lbs,Texas,"$20,000,000",https://www.espn.com/nba/team/roster/_/name/cle/cleveland-cavaliers,cleveland-cavaliers,Central,Eastern
,Lonzo Ball2,G,28,"6' 5""",190 lbs,UCLA,"$10,000,000",https://www.espn.com/nba/team/roster/_/name/cle/cleveland-cavaliers,cleveland-cavaliers,Central,Eastern
